축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
제14회 수국꽃 문화축제,태종대 내 태종사 일원,2019-06-29,2019-07-07,"개막식, 수국꽃 관람, 꽃밭포토존, 꽃밭버스킹, 꽃밭냉면시식회, 힐링체험프로그램(6종), 아트(프리)마켓 운영",수국축제추진위원회,대한불교조계종 태종사,"부산광역시, 영도구, 부산시설공단, 부산관광공사",051-419-4062,http://www.yeongdo.go.kr/main.web,,부산광역시 영도구 전망로 119,부산광역시 영도구 동삼동 산29-4,35.05597301,129.0897518,2019-12-19
영도구룡축제,동삼1동 주민센터 및 영도여고 뒤편 함지로 일원,2019-03-30,2019-03-30,"각종 문화공연, 구룡가요제, 벚꽃길 걷기대회, 전시, 체험부스 운영 등",영도구룡축제추진위원회,동삼1동발전협의회,,051-419-4852,http://www.yeongdo.go.kr/main.web,,부산광역시 영도구 중리로 44-1,부산광역시 영도구 동삼동 510-23,35.0749124,129.0684034,2019-12-19
동삼풍어제,동삼동 하리항 입구 선착장,2019-04-05,2019-04-05,"지신밟기, 바라품, 개회식, 살풀이등 풍어제, 12계단 작두",동삼어촌계 풍어제추진위원회,동삼어촌계 풍어제추진위원회,,051-405-0204,http://www.yeongdo.go.kr/main.web,,부산광역시 영도구 하리해안길 12,부산광역시 영도구 동삼동 769-1,35.06937472,129.0809397,2019-12-19
부산크리스마스트리축제,광복로일원,2019-11-16,2020-01-05,"트리점등식 문화공연, 사랑나눔행사",크리스마스트리축제위원회,(사)부산기독교총연합회,부산광역시,051-888-5221,http://bctf.kr/g5/,"광복로일원, 자갈치시장",부산광역시 중구 광복로6번길 3(부평동2가),부산광역시 중구 부평동2가 33-6,35.09929696,129.0258061,2020-01-01
부산시민의종 타종식,용두산공원,2019-12-31,2020-01-01,"시민의종 타종, 문화공연",(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5224,http://www.bfo.or.kr/main/index.asp,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),,35.1009305,129.0324434,2020-01-01
조선통신사 축제,"광복로일원, 용두산공원",2019-05-03,2019-05-06,"조선통신사 행렬재현, 마상재, 新조선통신사 프로그램 등",부산문화재단,부산광역시,,051-888-5091,http://tongsinsa.com/html/,용두산공원,부산광역시 중구 용두산길 37-55(광복동2가),,35.1009305,129.0324434,2020-01-01
원도심활성화 축제,원도심,2019-05-25,2019-05-26,원도심 야경투어및 관광명소 탐방,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5221,http://www.bfo.or.kr/main/index.asp,용두산공원 태종대 영도대교 도개,부산광역시 중구 중구로 120(대청동1가),,35.10619853,129.0323505,2020-01-01
제15회 부산국제매직페스티벌,"영화의전당, 구남로일원, 시청자미디어센터",2020-06-25,2020-06-30,"개막행사, 국제마술대회, 매직갈라쇼 등(축제일정은 미확정)",부산국제매직페스티벌조직위원회,부산국제매직페스티벌조직위원회,해당없음,051-626-7002,http://blog.naver.com/bimf7002,,부산광역시 해운대구 구남로 23-1,부산광역시 해운대구 중동 1383-12,35.16197752,129.1606,2020-01-17
제25회 부산바다축제,해운대해수욕장 등,2020-08-02,2020-08-06,"개막행사, 체험행사, 공연행사 등(축제일정은 미확정)",(사)부산문화관광축제조직위원회,부산광역시,해당없음,051-501-6051,http://www.bfo.or.kr/,,부산광역시 해운대구 달맞이길62번길 47,부산광역시 해운대구 중동 1015-1,35.15793348,129.1724709,2020-01-17
2020년 제16회 해운대모래축제,해운대 해수욕장,2020-05-22,2020-05-25,"모래작품 전시 및 체험, 거리퍼레이드, 다양한 공연 등","해운대구, (사)해운대문화관광협의회",해운대구,해당없음,051-749-4062,http://www.sandfestival.kr/,,부산광역시 해운대구 달맞이길62번길 47,부산광역시 해운대구 중동 1015-1,35.15793348,129.1724709,2020-01-17
제38회 해운대달맞이온천축제,해운대 해수욕장,2020-02-06,2020-02-08,해운대 월출과 온천을 소재로 민속축제를 계승 재현,해운대지구발전협의회,해운대지구발전협의회,해당없음,051-746-0276,http://hudbj.kr/g5/,,부산광역시 해운대구 달맞이길62번길 47,부산광역시 해운대구 중동 1015-1,35.15793348,129.1724709,2020-01-17
제33회 해운대북극곰수영축제,해운대 해수욕장,2020-01-04,2020-01-05,"전야제, 북극곰수영",부산일보사,부산일보사,해당없음,051-461-4297,http://bear.busan.com,,부산광역시 해운대구 달맞이길62번길 47,부산광역시 해운대구 중동 1015-1,35.15793348,129.1724709,2020-01-17
제16회 부산세계불꽃축제,"마린시티, 동백섬, 광안리해수욕장",2020-11-02,2020-11-02,광안대교를 배경으로 부산만의 특화된 불꽃축제(축제일정은 미확정),(사)부산문화관광축제조직위원회,(사)부산문화관광축제조직위원회,해당없음,051-501-6051,http://www.bfo.or.kr/,,부산광역시 해운대구 마린시티3로 52,부산광역시 해운대구 우동 1410-3,35.15444632,129.1450571,2020-01-17
제25회 송정해변축제,송정해수욕장,2020-08-02,2020-08-03,"축하공연, 해변가요제 등(축제일정은 미확정)",송정축제조직위원회,송정축제조직위원회,해당없음,051-749-4062,http://tour.haeundae.go.kr,,부산광역시 해운대구 송정해변로 62,부산광역시 해운대구 송정동 712-2,35.17944126,129.1996527,2020-01-17
제25회 부산국제영화제,영화의전당 등,2020-10-03,2020-10-12,제25회 부산국제영화제(축제일정은 미확정),BIFF조직위원회,BIFF조직위원회,해당없음,1688-3010,http://www.biff.kr,,부산광역시 해운대구 수영강변대로 120,부산광역시 해운대구 우동 1467,35.17103803,129.1270863,2020-01-17
제15회 부산국제어린이청소년영화제,영화의전당,2020-07-09,2020-07-15,청소년 영화 상영 등(축제일정은 미확정),(사)부산국제어린이영화제조직위원회,(사)부산국제어린이영화제조직위원회,해당없음,051-743-7652,http://www.biky.or.kr/,,부산광역시 해운대구 수영강변대로 120,부산광역시 해운대구 우동 1467,35.17103803,129.1270863,2020-01-17
해운대 북극곰축제,해운대해수욕장,2019-01-05,2019-01-06,겨울바다 수영입수식 및 축하공연 버스킹 등,부산일보,부산일보,부산광역시,051-888-5054,http://bear.busan.com/ko/,달맞이 언덕 문텐로드,부산광역시 해운대구 해운대해변로 264(우동),,35.15910673,129.1602827,2020-01-01
울산대공원 장미축제,울산대공원,2019-05-22,2019-05-26,장미축제,"울산광역시청, (주)SK에너지","울산광역시청, (주)SK에너지",,052-229-3342,http://ulsanrosefestival.com/,"개막식, 공연행사, 체험전시, 행사 레이져 쇼, 뮤직박스 운영 등",울산광역시 남구 대공원로 94,울산광역시 남구 옥동 146-1,35.530972,129.2939697,2020-01-29
태화강 연등축제,울산 태화강 둔치,2019-05-11,2019-05-13,연등축제,태화강 연등축제조직 위원,울산광역시 불교종단연합회,,052-266-3318,http://www.ubcf.net,"봉축점등식과 이웃종교합창제, 행복바라미행사, 불꽃놀이를 시작으로둘째날 봉축법요식과 부처님이운행렬, 시민축하공연",울산광역시 남구 무거동 1,울산광역시 남구 무거동 1,35.5506625,129.3257957,2020-01-29
처용문화제,달동 문화공원,2019-10-18,2019-10-20,처용축제,울산광역시청,울산광역시청,,052-259-7916,,처용맞이,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.327076,2020-01-29
선암호수 불꽃축제,선암호수공원,2019-11-09,2019-11-09,불꽃축제,경상일보,울산광역시 남구청,,052-226-5415,,불꽃축제 및 1인 미디어 콘텐츠 공모전,울산광역시 남구 선암동 490-2,울산광역시 남구 선암동 490-2,35.516881,129.325438,2020-01-29
울산고래축제,울산광역시 남구 장생포 일원,2019-06-07,2019-06-09,고래축제,고래문화재단,울산광역시 남구청,,052-226-1991,http://www.ulsanwhale.com,"선사고래잡이재현, 체험행사, 고래바다여행선체험 등",울산광역시 남구 장생포고래로 288번길 20,울산광역시 남구 매암동 139-26,35.50439928,129.387293,2020-01-29
울산쇠부리축제,북구청광장,2019-05-10,2019-05-12,"체험,전시,학술 등",울산쇠부리축제 추진위원회,울산광역시 북구청,,052-241-8758,www.soeburi.org,,울산광역시 북구 산업로 1010,울산광역시 북구 연암동 1004-1,,,2019-12-20
2020년 울산병영3.1만세운동 제21회 재현행사,울산 중구 병영 일원,2020-04-05,2020-04-06,"위령제, 삼일만세운동재현행사 및 부대행사, 축구대회(20.04.12.) 등",중구문화원,중구문화원,"울산광역시 중구,보훈지청",052-290-3664,,,울산광역시 중구 남외동 488-5,울산광역시 중구 남외동 488-5,,,2019-12-19
2020년 한글문화예술제,외솔기념관 및 중구 원도심 일원,2020-10-09,2020-10-11,"한글을 주제로 한 전시, 체험, 경연, 공연 등",UBC 울산방송,울산광역시,"울산광역시 중구, 외솔회",052-290-3654,,,울산광역시 중구 병영12길 15,,,,2019-12-19
제51회 서덕출 봄편지 노래비 글쓰기 및 그리기대회,서덕출공원 일원,2020-05-20,2020-05-20,"글쓰기(운문, 산문) 및 그리기",울산중구문화원,울산중구문화원,"울산광역시,울산광역시 중구",052-290-3665,,,울산광역시 중구 복산동 600,울산광역시 중구 복산동 600,,,2019-12-19
2020 문화의거리 현대미술제,울산 중구 문화의거리,2020-04-25,2020-05-03,갤러리 및 거리 미술작품 전시,문화의거리 현대미술제 울산운영위원회,경상일보,"울산광역시,울산광역시 중구",052-290-3666,,,울산광역시 중구 옥교동 277-1,울산광역시 중구 옥교동 277-1,,,2019-12-19
2020 태화강 국제 재즈페스티벌,태화강국가정원 야외공연장,2020-05-16,2020-05-17,"국·내외 재즈가수 공연, 부대행사 등",울산매일신문사,울산매일신문사,"울산광역시,울산광역시 중구",052-290-3663,,,울산광역시 중구 태화동 107,울산광역시 중구 태화동 107,,,2019-12-19
2020 울산 마두희 축제,울산 중구 성남동 일원,2020-06-26,2020-06-28,줄다리기 및 부대행사,울산마두희축제추진위원회,울산마두희축제추진위원회,울산광역시 중구청,052-244-2007,http://www.ulsanmaduhee.co.kr/2013/main/main.html,,울산광역시 중구 학성로,울산광역시 중구 성남동,,,2019-12-19
